AX: 0.96, AY: -0.91, AZ: -0.01, GX: -1459.00, GY: 234.00, GZ: 32767.00

AX: 0.94, AY: -1.14, AZ: -0.04, GX: -1471.00, GY: 243.00, GZ: 32767.00

AX: 0.85, AY: -1.36, AZ: -0.00, GX: -1479.00, GY: 240.00, GZ: 32767.00

AX: 0.67, AY: -1.49, AZ: -0.02, GX: -1461.00, GY: 243.00, GZ: 32767.00

AX: 0.51, AY: -1.61, AZ: -0.03, GX: -1461.00, GY: 245.00, GZ: 32767.00

AX: 0.34, AY: -1.71, AZ: -0.04, GX: -1471.00, GY: 247.00, GZ: 32767.00

AX: 0.09, AY: -1.75, AZ: -0.03, GX: -1481.00, GY: 243.00, GZ: 32767.00

AX: -0.12, AY: -1.77, AZ: 0.00, GX: -1481.00, GY: 240.00, GZ: 32767.00

AX: -0.33, AY: -1.66, AZ: -0.03, GX: -1454.00, GY: 243.00, GZ: 32767.00

AX: -0.49, AY: -1.55, AZ: -0.11, GX: -1466.00, GY: 248.00, GZ: 32767.00

AX: -0.70, AY: -1.45, AZ: -0.10, GX: -1490.00, GY: 250.00, GZ: 32767.00

AX: -0.86, AY: -1.25, AZ: 0.03, GX: -1477.00, GY: 241.00, GZ: 32767.00

AX: -0.96, AY: -1.08, AZ: -0.02, GX: -1473.00, GY: 245.00, GZ: 32767.00

AX: -0.99, AY: -0.86, AZ: -0.14, GX: -1485.00, GY: 243.00, GZ: 32767.00

AX: -0.99, AY: -0.63, AZ: -0.11, GX: -1486.00, GY: 241.00, GZ: 32767.00

AX: -0.96, AY: -0.40, AZ: -0.01, GX: -1474.00, GY: 242.00, GZ: 32767.00

AX: -0.85, AY: -0.22, AZ: -0.03, GX: -1476.00, GY: 238.00, GZ: 32767.00

AX: -0.72, AY: -0.07, AZ: -0.10, GX: -1491.00, GY: 233.00, GZ: 32767.00

AX: -0.55, AY: 0.09, AZ: -0.08, GX: -1478.00, GY: 235.00, GZ: 32767.00

AX: -0.32, AY: 0.20, AZ: -0.03, GX: -1472.00, GY: 238.00, GZ: 32767.00

AX: -0.12, AY: 0.26, AZ: -0.00, GX: -1470.00, GY: 237.00, GZ: 32767.00

AX: 0.05, AY: 0.24, AZ: -0.03, GX: -1480.00, GY: 237.00, GZ: 32767.00

AX: 0.30, AY: 0.16, AZ: -0.08, GX: -1481.00, GY: 232.00, GZ: 32767.00

AX: 0.53, AY: 0.14, AZ: -0.07, GX: -1458.00, GY: 230.00, GZ: 32767.00

AX: 0.70, AY: -0.01, AZ: 0.01, GX: -1477.00, GY: 238.00, GZ: 32767.00

AX: 0.81, AY: -0.19, AZ: 0.04, GX: -1472.00, GY: 238.00, GZ: 32767.00

AX: 0.89, AY: -0.40, AZ: -0.03, GX: -1467.00, GY: 233.00, GZ: 32767.00

AX: 0.98, AY: -0.56, AZ: -0.06, GX: -1460.00, GY: 236.00, GZ: 32767.00

AX: 1.02, AY: -0.81, AZ: 0.01, GX: -1483.00, GY: 239.00, GZ: 32767.00

AX: 0.94, AY: -1.03, AZ: 0.04, GX: -1471.00, GY: 235.00, GZ: 32767.00

AX: 0.85, AY: -1.23, AZ: -0.01, GX: -1459.00, GY: 241.00, GZ: 32767.00

AX: 0.78, AY: -1.38, AZ: -0.04, GX: -1463.00, GY: 247.00, GZ: 32767.00

AX: 0.59, AY: -1.56, AZ: -0.01, GX: -1482.00, GY: 242.00, GZ: 32767.00

AX: 0.37, AY: -1.68, AZ: -0.00, GX: -1471.00, GY: 238.00, GZ: 32767.00

AX: 0.19, AY: -1.71, AZ: -0.01, GX: -1455.00, GY: 239.00, GZ: 32767.00

AX: -0.00, AY: -1.75, AZ: -0.04, GX: -1469.00, GY: 244.00, GZ: 32767.00

AX: -0.26, AY: -1.70, AZ: -0.08, GX: -1483.00, GY: 246.00, GZ: 32767.00

AX: -0.48, AY: -1.66, AZ: -0.06, GX: -1498.00, GY: 240.00, GZ: 32767.00

AX: -0.64, AY: -1.50, AZ: 0.03, GX: -1470.00, GY: 240.00, GZ: 32767.00

AX: -0.78, AY: -1.32, AZ: -0.02, GX: -1471.00, GY: 243.00, GZ: 32767.00

AX: -0.90, AY: -1.14, AZ: -0.15, GX: -1481.00, GY: 247.00, GZ: 32767.00

AX: -0.98, AY: -0.92, AZ: -0.10, GX: -1477.00, GY: 241.00, GZ: 32767.00

AX: -1.03, AY: -0.72, AZ: 0.00, GX: -1473.00, GY: 245.00, GZ: 32767.00

AX: -0.98, AY: -0.51, AZ: -0.04, GX: -1485.00, GY: 244.00, GZ: 32767.00

AX: -0.92, AY: -0.30, AZ: -0.12, GX: -1488.00, GY: 232.00, GZ: 32767.00

AX: -0.81, AY: -0.09, AZ: -0.09, GX: -1475.00, GY: 244.00, GZ: 32767.00

AX: -0.61, AY: 0.04, AZ: -0.03, GX: -1478.00, GY: 242.00, GZ: 32767.00

AX: -0.47, AY: 0.13, AZ: -0.04, GX: -1489.00, GY: 234.00, GZ: 32767.00

AX: -0.28, AY: 0.23, AZ: -0.07, GX: -1478.00, GY: 233.00, GZ: 32767.00

AX: -0.04, AY: 0.26, AZ: -0.07, GX: -1476.00, GY: 233.00, GZ: 32767.00

AX: 0.21, AY: 0.25, AZ: -0.04, GX: -1464.00, GY: 235.00, GZ: 32767.00

AX: 0.39, AY: 0.13, AZ: 0.01, GX: -1480.00, GY: 239.00, GZ: 32767.00

AX: 0.55, AY: 0.01, AZ: 0.02, GX: -1471.00, GY: 240.00, GZ: 32767.00

AX: 0.71, AY: -0.10, AZ: -0.05, GX: -1464.00, GY: 227.00, GZ: 32767.00

AX: 0.87, AY: -0.29, AZ: -0.06, GX: -1474.00, GY: 242.00, GZ: 32767.00

AX: 0.99, AY: -0.53, AZ: 0.01, GX: -1479.00, GY: 237.00, GZ: 32767.00

AX: 0.96, AY: -0.74, AZ: 0.04, GX: -1464.00, GY: 236.00, GZ: 32767.00

AX: 0.96, AY: -0.92, AZ: -0.03, GX: -1457.00, GY: 239.00, GZ: 32767.00

AX: 0.94, AY: -1.16, AZ: -0.04, GX: -1482.00, GY: 245.00, GZ: 32767.00

AX: 0.84, AY: -1.37, AZ: 0.02, GX: -1480.00, GY: 237.00, GZ: 32767.00

AX: 0.64, AY: -1.49, AZ: -0.02, GX: -1459.00, GY: 245.00, GZ: 32767.00

AX: 0.52, AY: -1.61, AZ: -0.03, GX: -1465.00, GY: 246.00, GZ: 32767.00

AX: 0.32, AY: -1.72, AZ: -0.04, GX: -1482.00, GY: 247.00, GZ: 32767.00

