AX: 0.97, AY: 0.16, AZ: -0.01, GX: -297.00, GY: -17.00, GZ: 2924.00

AX: 0.99, AY: 0.15, AZ: -0.01, GX: -288.00, GY: -17.00, GZ: 2918.00

AX: 0.97, AY: 0.13, AZ: -0.01, GX: -291.00, GY: -14.00, GZ: 2914.00

AX: 1.00, AY: 0.12, AZ: -0.01, GX: -289.00, GY: -23.00, GZ: 2910.00

AX: 0.98, AY: 0.09, AZ: -0.01, GX: -290.00, GY: -20.00, GZ: 2909.00

AX: 0.99, AY: 0.08, AZ: -0.01, GX: -289.00, GY: -22.00, GZ: 2907.00

AX: 0.97, AY: 0.07, AZ: -0.01, GX: -294.00, GY: -17.00, GZ: 2913.00

AX: 0.99, AY: 0.06, AZ: -0.01, GX: -290.00, GY: -18.00, GZ: 2917.00

AX: 0.99, AY: 0.04, AZ: -0.01, GX: -292.00, GY: -17.00, GZ: 2909.00

AX: 1.00, AY: 0.02, AZ: -0.00, GX: -286.00, GY: -26.00, GZ: 2913.00

AX: 0.98, AY: 0.01, AZ: -0.00, GX: -291.00, GY: -17.00, GZ: 2913.00

AX: 1.00, AY: -0.00, AZ: -0.01, GX: -290.00, GY: -28.00, GZ: 2913.00

AX: 0.99, AY: -0.03, AZ: -0.01, GX: -293.00, GY: -18.00, GZ: 2912.00

AX: 1.00, AY: -0.04, AZ: -0.01, GX: -293.00, GY: -19.00, GZ: 2910.00

AX: 0.98, AY: -0.05, AZ: -0.01, GX: -293.00, GY: -17.00, GZ: 2904.00

AX: 0.99, AY: -0.07, AZ: -0.01, GX: -288.00, GY: -23.00, GZ: 2901.00

AX: 0.99, AY: -0.09, AZ: -0.01, GX: -292.00, GY: -20.00, GZ: 2903.00

AX: 0.99, AY: -0.10, AZ: -0.00, GX: -287.00, GY: -20.00, GZ: 2902.00

AX: 0.98, AY: -0.12, AZ: -0.01, GX: -290.00, GY: -24.00, GZ: 2912.00

AX: 0.99, AY: -0.13, AZ: -0.01, GX: -288.00, GY: -23.00, GZ: 2913.00

AX: 0.98, AY: -0.15, AZ: -0.01, GX: -291.00, GY: -19.00, GZ: 2924.00

AX: 0.98, AY: -0.16, AZ: -0.01, GX: -294.00, GY: -18.00, GZ: 2929.00

AX: 0.97, AY: -0.18, AZ: -0.01, GX: -294.00, GY: -19.00, GZ: 2928.00

AX: 0.98, AY: -0.19, AZ: -0.01, GX: -287.00, GY: -20.00, GZ: 2922.00

AX: 0.97, AY: -0.21, AZ: -0.01, GX: -290.00, GY: -20.00, GZ: 2913.00

AX: 0.97, AY: -0.22, AZ: -0.00, GX: -290.00, GY: -19.00, GZ: 2911.00

AX: 0.95, AY: -0.24, AZ: -0.01, GX: -292.00, GY: -17.00, GZ: 2908.00

AX: 0.96, AY: -0.25, AZ: -0.00, GX: -290.00, GY: -19.00, GZ: 2906.00

AX: 0.96, AY: -0.27, AZ: -0.01, GX: -295.00, GY: -19.00, GZ: 2909.00

AX: 0.95, AY: -0.28, AZ: -0.01, GX: -293.00, GY: -20.00, GZ: 2907.00

AX: 0.93, AY: -0.30, AZ: -0.01, GX: -288.00, GY: -15.00, GZ: 2913.00

AX: 0.95, AY: -0.32, AZ: -0.01, GX: -288.00, GY: -19.00, GZ: 2908.00

AX: 0.94, AY: -0.33, AZ: -0.01, GX: -293.00, GY: -17.00, GZ: 2908.00

AX: 0.94, AY: -0.35, AZ: -0.01, GX: -295.00, GY: -22.00, GZ: 2911.00

AX: 0.92, AY: -0.36, AZ: -0.01, GX: -290.00, GY: -17.00, GZ: 2911.00

AX: 0.93, AY: -0.37, AZ: -0.01, GX: -288.00, GY: -18.00, GZ: 2909.00

AX: 0.91, AY: -0.39, AZ: -0.01, GX: -290.00, GY: -23.00, GZ: 2903.00

AX: 0.91, AY: -0.41, AZ: -0.00, GX: -289.00, GY: -18.00, GZ: 2903.00

AX: 0.89, AY: -0.41, AZ: -0.01, GX: -286.00, GY: -18.00, GZ: 2907.00

AX: 0.90, AY: -0.43, AZ: -0.01, GX: -291.00, GY: -18.00, GZ: 2905.00

AX: 0.89, AY: -0.45, AZ: -0.00, GX: -294.00, GY: -20.00, GZ: 2912.00

AX: 0.88, AY: -0.47, AZ: -0.02, GX: -289.00, GY: -22.00, GZ: 2922.00

AX: 0.87, AY: -0.46, AZ: -0.01, GX: -292.00, GY: -12.00, GZ: 2938.00

AX: 0.88, AY: -0.48, AZ: -0.01, GX: -291.00, GY: -17.00, GZ: 2942.00

