AX: 0.91, AY: 0.11, AZ: -0.01, GX: -928.00, GY: 118.00, GZ: 23690.00

AX: 0.97, AY: -0.05, AZ: -0.02, GX: -935.00, GY: 107.00, GZ: 23693.00

AX: 0.97, AY: -0.14, AZ: -0.01, GX: -933.00, GY: 110.00, GZ: 23686.00

AX: 0.99, AY: -0.27, AZ: -0.01, GX: -928.00, GY: 114.00, GZ: 23683.00

AX: 0.98, AY: -0.41, AZ: -0.01, GX: -929.00, GY: 114.00, GZ: 23686.00

AX: 0.97, AY: -0.52, AZ: -0.01, GX: -934.00, GY: 117.00, GZ: 23680.00

AX: 0.92, AY: -0.63, AZ: -0.01, GX: -925.00, GY: 113.00, GZ: 23689.00

AX: 0.86, AY: -0.77, AZ: -0.01, GX: -932.00, GY: 120.00, GZ: 23683.00

AX: 0.81, AY: -0.84, AZ: -0.01, GX: -927.00, GY: 117.00, GZ: 23687.00

AX: 0.73, AY: -0.96, AZ: -0.02, GX: -936.00, GY: 117.00, GZ: 23685.00

AX: 0.61, AY: -1.06, AZ: -0.03, GX: -941.00, GY: 116.00, GZ: 23690.00

AX: 0.50, AY: -1.09, AZ: -0.01, GX: -929.00, GY: 115.00, GZ: 23684.00

AX: 0.39, AY: -1.16, AZ: -0.02, GX: -925.00, GY: 118.00, GZ: 23697.00

AX: 0.26, AY: -1.23, AZ: -0.03, GX: -947.00, GY: 125.00, GZ: 23690.00

AX: 0.18, AY: -1.24, AZ: -0.03, GX: -940.00, GY: 113.00, GZ: 23695.00

AX: 0.01, AY: -1.23, AZ: -0.03, GX: -927.00, GY: 122.00, GZ: 23692.00

AX: -0.09, AY: -1.24, AZ: -0.03, GX: -938.00, GY: 118.00, GZ: 23698.00

AX: -0.22, AY: -1.24, AZ: -0.04, GX: -940.00, GY: 120.00, GZ: 23700.00

AX: -0.35, AY: -1.18, AZ: -0.04, GX: -932.00, GY: 120.00, GZ: 23704.00

AX: -0.44, AY: -1.14, AZ: -0.04, GX: -934.00, GY: 117.00, GZ: 23695.00

AX: -0.56, AY: -1.09, AZ: -0.05, GX: -936.00, GY: 120.00, GZ: 23710.00

AX: -0.68, AY: -1.00, AZ: -0.05, GX: -938.00, GY: 127.00, GZ: 23698.00

AX: -0.74, AY: -0.91, AZ: -0.05, GX: -935.00, GY: 114.00, GZ: 23702.00

