AX: 0.95, AY: 0.11, AZ: -0.01, GX: -569.00, GY: 43.00, GZ: 11750.00

AX: 1.00, AY: 0.09, AZ: -0.01, GX: -554.00, GY: 28.00, GZ: 11744.00

AX: 0.97, AY: -0.02, AZ: -0.01, GX: -569.00, GY: 40.00, GZ: 11743.00

AX: 1.02, AY: -0.07, AZ: -0.01, GX: -567.00, GY: 27.00, GZ: 11744.00

AX: 0.97, AY: -0.12, AZ: -0.01, GX: -561.00, GY: 36.00, GZ: 11742.00

AX: 1.00, AY: -0.21, AZ: -0.01, GX: -568.00, GY: 39.00, GZ: 11748.00

AX: 0.96, AY: -0.25, AZ: -0.01, GX: -567.00, GY: 40.00, GZ: 11745.00

AX: 0.98, AY: -0.31, AZ: -0.00, GX: -561.00, GY: 34.00, GZ: 11745.00

AX: 0.93, AY: -0.40, AZ: -0.01, GX: -571.00, GY: 36.00, GZ: 11746.00

AX: 0.93, AY: -0.42, AZ: -0.00, GX: -566.00, GY: 42.00, GZ: 11742.00

AX: 0.91, AY: -0.50, AZ: -0.01, GX: -563.00, GY: 31.00, GZ: 11747.00

AX: 0.85, AY: -0.56, AZ: -0.01, GX: -567.00, GY: 42.00, GZ: 11763.00

AX: 0.85, AY: -0.59, AZ: -0.01, GX: -565.00, GY: 31.00, GZ: 11756.00

AX: 0.80, AY: -0.65, AZ: 0.00, GX: -557.00, GY: 39.00, GZ: 11760.00

AX: 0.77, AY: -0.72, AZ: -0.01, GX: -574.00, GY: 40.00, GZ: 11759.00

AX: 0.74, AY: -0.74, AZ: -0.02, GX: -564.00, GY: 33.00, GZ: 11758.00

AX: 0.67, AY: -0.80, AZ: -0.01, GX: -563.00, GY: 40.00, GZ: 11775.00

AX: 0.63, AY: -0.84, AZ: -0.01, GX: -569.00, GY: 38.00, GZ: 11772.00

AX: 0.60, AY: -0.86, AZ: -0.01, GX: -564.00, GY: 38.00, GZ: 11771.00

AX: 0.54, AY: -0.93, AZ: -0.02, GX: -571.00, GY: 36.00, GZ: 11775.00

AX: 0.46, AY: -0.92, AZ: -0.01, GX: -566.00, GY: 44.00, GZ: 11775.00

AX: 0.46, AY: -0.97, AZ: -0.02, GX: -563.00, GY: 33.00, GZ: 11777.00

AX: 0.34, AY: -1.00, AZ: -0.02, GX: -564.00, GY: 41.00, GZ: 11785.00

AX: 0.33, AY: -1.02, AZ: -0.02, GX: -569.00, GY: 38.00, GZ: 11786.00

AX: 0.26, AY: -1.04, AZ: -0.02, GX: -563.00, GY: 33.00, GZ: 11785.00

