AX: -0.72, AY: -2.86, AZ: -0.05, GX: -2321.00, GY: 481.00, GZ: 32767.00

AX: -0.94, AY: -2.55, AZ: -0.05, GX: -2326.00, GY: 475.00, GZ: 32767.00

AX: -1.03, AY: -2.17, AZ: -0.05, GX: -2321.00, GY: 474.00, GZ: 32767.00

AX: -0.97, AY: -1.83, AZ: -0.05, GX: -2326.00, GY: 472.00, GZ: 32767.00

AX: -0.79, AY: -1.50, AZ: -0.05, GX: -2320.00, GY: 463.00, GZ: 32767.00

AX: -0.48, AY: -1.29, AZ: -0.04, GX: -2324.00, GY: 469.00, GZ: 32767.00

AX: -0.05, AY: -1.20, AZ: -0.04, GX: -2318.00, GY: 463.00, GZ: 32767.00

AX: 0.32, AY: -1.26, AZ: -0.02, GX: -2311.00, GY: 461.00, GZ: 32767.00

AX: 0.65, AY: -1.45, AZ: -0.01, GX: -2309.00, GY: 456.00, GZ: 32767.00

AX: 0.88, AY: -1.74, AZ: -0.01, GX: -2306.00, GY: 460.00, GZ: 32767.00

AX: 0.99, AY: -2.11, AZ: 0.01, GX: -2309.00, GY: 470.00, GZ: 32767.00

AX: 0.93, AY: -2.47, AZ: 0.01, GX: -2308.00, GY: 475.00, GZ: 32767.00

AX: 0.76, AY: -2.81, AZ: -0.00, GX: -2302.00, GY: 477.00, GZ: 32767.00

AX: 0.47, AY: -3.05, AZ: -0.01, GX: -2301.00, GY: 475.00, GZ: 32767.00

AX: 0.14, AY: -3.19, AZ: -0.02, GX: -2310.00, GY: 476.00, GZ: 32767.00

AX: -0.24, AY: -3.19, AZ: -0.03, GX: -2314.00, GY: 483.00, GZ: 32767.00

AX: -0.59, AY: -3.04, AZ: -0.04, GX: -2315.00, GY: 475.00, GZ: 32767.00

AX: -0.85, AY: -2.78, AZ: -0.05, GX: -2318.00, GY: 474.00, GZ: 32767.00

AX: -1.00, AY: -2.42, AZ: -0.05, GX: -2319.00, GY: 475.00, GZ: 32767.00

AX: -1.01, AY: -2.06, AZ: -0.06, GX: -2323.00, GY: 475.00, GZ: 32767.00

AX: -0.89, AY: -1.70, AZ: -0.05, GX: -2320.00, GY: 473.00, GZ: 32767.00

AX: -0.64, AY: -1.43, AZ: -0.05, GX: -2318.00, GY: 465.00, GZ: 32767.00

AX: -0.30, AY: -1.25, AZ: -0.04, GX: -2317.00, GY: 464.00, GZ: 32767.00

AX: 0.06, AY: -1.20, AZ: -0.03, GX: -2317.00, GY: 465.00, GZ: 32767.00

AX: 0.43, AY: -1.31, AZ: -0.02, GX: -2314.00, GY: 459.00, GZ: 32767.00

AX: 0.72, AY: -1.54, AZ: -0.01, GX: -2305.00, GY: 464.00, GZ: 32767.00

AX: 0.92, AY: -1.86, AZ: -0.01, GX: -2307.00, GY: 462.00, GZ: 32767.00

AX: 0.96, AY: -2.22, AZ: -0.01, GX: -2303.00, GY: 469.00, GZ: 32767.00

AX: 0.89, AY: -2.60, AZ: -0.01, GX: -2312.00, GY: 472.00, GZ: 32767.00

AX: 0.68, AY: -2.90, AZ: -0.01, GX: -2307.00, GY: 478.00, GZ: 32767.00

AX: 0.38, AY: -3.12, AZ: -0.01, GX: -2310.00, GY: 479.00, GZ: 32767.00

AX: 0.03, AY: -3.21, AZ: -0.02, GX: -2305.00, GY: 473.00, GZ: 32767.00

AX: -0.36, AY: -3.11, AZ: -0.03, GX: -2310.00, GY: 479.00, GZ: 32767.00

AX: -0.66, AY: -2.91, AZ: -0.04, GX: -2320.00, GY: 479.00, GZ: 32767.00

AX: -0.91, AY: -2.60, AZ: -0.06, GX: -2316.00, GY: 479.00, GZ: 32767.00

AX: -1.02, AY: -2.25, AZ: -0.07, GX: -2327.00, GY: 473.00, GZ: 32767.00

AX: -1.00, AY: -1.87, AZ: -0.06, GX: -2326.00, GY: 476.00, GZ: 32767.00

AX: -0.82, AY: -1.55, AZ: -0.05, GX: -2327.00, GY: 473.00, GZ: 32767.00

AX: -0.55, AY: -1.33, AZ: -0.04, GX: -2320.00, GY: 466.00, GZ: 32767.00

AX: -0.20, AY: -1.21, AZ: -0.04, GX: -2314.00, GY: 463.00, GZ: 32767.00

AX: 0.19, AY: -1.24, AZ: -0.04, GX: -2314.00, GY: 454.00, GZ: 32767.00

AX: 0.52, AY: -1.41, AZ: -0.02, GX: -2314.00, GY: 466.00, GZ: 32767.00

AX: 0.80, AY: -1.70, AZ: -0.01, GX: -2310.00, GY: 462.00, GZ: 32767.00

AX: 0.94, AY: -2.03, AZ: -0.02, GX: -2304.00, GY: 467.00, GZ: 32767.00

AX: 0.97, AY: -2.42, AZ: -0.01, GX: -2307.00, GY: 465.00, GZ: 32767.00

AX: 0.85, AY: -2.76, AZ: 0.01, GX: -2301.00, GY: 478.00, GZ: 32767.00

AX: 0.60, AY: -3.02, AZ: 0.00, GX: -2302.00, GY: 481.00, GZ: 32767.00

AX: 0.28, AY: -3.18, AZ: -0.01, GX: -2303.00, GY: 478.00, GZ: 32767.00

AX: -0.10, AY: -3.19, AZ: -0.03, GX: -2306.00, GY: 485.00, GZ: 32767.00

AX: -0.45, AY: -3.07, AZ: -0.05, GX: -2315.00, GY: 479.00, GZ: 32767.00

AX: -0.77, AY: -2.82, AZ: -0.05, GX: -2318.00, GY: 478.00, GZ: 32767.00

AX: -0.96, AY: -2.50, AZ: -0.05, GX: -2322.00, GY: 473.00, GZ: 32767.00

AX: -1.03, AY: -2.13, AZ: -0.05, GX: -2327.00, GY: 471.00, GZ: 32767.00

AX: -0.96, AY: -1.75, AZ: -0.07, GX: -2325.00, GY: 470.00, GZ: 32767.00

AX: -0.75, AY: -1.48, AZ: -0.05, GX: -2323.00, GY: 468.00, GZ: 32767.00

AX: -0.45, AY: -1.27, AZ: -0.05, GX: -2320.00, GY: 466.00, GZ: 32767.00

AX: -0.06, AY: -1.20, AZ: -0.04, GX: -2318.00, GY: 459.00, GZ: 32767.00

AX: 0.29, AY: -1.27, AZ: -0.03, GX: -2309.00, GY: 460.00, GZ: 32767.00

AX: 0.63, AY: -1.49, AZ: -0.01, GX: -2311.00, GY: 456.00, GZ: 32767.00

AX: 0.87, AY: -1.79, AZ: -0.01, GX: -2310.00, GY: 466.00, GZ: 32767.00

AX: 0.98, AY: -2.17, AZ: 0.01, GX: -2308.00, GY: 466.00, GZ: 32767.00

AX: 0.95, AY: -2.53, AZ: -0.01, GX: -2308.00, GY: 471.00, GZ: 32767.00

AX: 0.77, AY: -2.84, AZ: -0.01, GX: -2306.00, GY: 481.00, GZ: 32767.00

AX: 0.51, AY: -3.08, AZ: -0.02, GX: -2307.00, GY: 474.00, GZ: 32767.00

AX: 0.15, AY: -3.20, AZ: -0.02, GX: -2311.00, GY: 478.00, GZ: 32767.00

AX: -0.23, AY: -3.18, AZ: -0.03, GX: -2316.00, GY: 475.00, GZ: 32767.00

AX: -0.63, AY: -3.00, AZ: -0.04, GX: -2314.00, GY: 476.00, GZ: 32767.00

AX: -0.88, AY: -2.73, AZ: -0.05, GX: -2321.00, GY: 479.00, GZ: 32767.00

AX: -1.00, AY: -2.39, AZ: -0.05, GX: -2322.00, GY: 475.00, GZ: 32767.00

AX: -1.00, AY: -2.00, AZ: -0.07, GX: -2324.00, GY: 475.00, GZ: 32767.00

AX: -0.84, AY: -1.66, AZ: -0.04, GX: -2321.00, GY: 466.00, GZ: 32767.00

AX: -0.60, AY: -1.38, AZ: -0.05, GX: -2317.00, GY: 472.00, GZ: 32767.00

AX: -0.25, AY: -1.24, AZ: -0.04, GX: -2319.00, GY: 467.00, GZ: 32767.00

AX: 0.11, AY: -1.21, AZ: -0.03, GX: -2313.00, GY: 465.00, GZ: 32767.00

AX: 0.47, AY: -1.34, AZ: -0.02, GX: -2312.00, GY: 464.00, GZ: 32767.00

AX: 0.76, AY: -1.58, AZ: -0.01, GX: -2310.00, GY: 461.00, GZ: 32767.00

AX: 0.91, AY: -1.91, AZ: 0.01, GX: -2311.00, GY: 463.00, GZ: 32767.00

AX: 0.97, AY: -2.29, AZ: -0.01, GX: -2306.00, GY: 464.00, GZ: 32767.00

AX: 0.87, AY: -2.64, AZ: -0.01, GX: -2306.00, GY: 473.00, GZ: 32767.00

AX: 0.67, AY: -2.94, AZ: -0.01, GX: -2307.00, GY: 473.00, GZ: 32767.00

AX: 0.33, AY: -3.13, AZ: -0.01, GX: -2305.00, GY: 480.00, GZ: 32767.00

AX: -0.03, AY: -3.19, AZ: -0.02, GX: -2307.00, GY: 483.00, GZ: 32767.00

AX: -0.40, AY: -3.13, AZ: -0.03, GX: -2312.00, GY: 479.00, GZ: 32767.00

AX: -0.71, AY: -2.92, AZ: -0.06, GX: -2316.00, GY: 480.00, GZ: 32767.00

